evaluations raw_y
1 19363488000.6869354248
2 1197359095.1808345318
13 1085771916.3774416447
23 811990342.4602887630
24 613592874.8464945555
400 1742991847.3590271473
evaluations raw_y
1 4350989524.1023569107
3 2844586018.1192770004
6 2306889586.8795800209
7 2281991197.0281147957
8 1294653241.5355963707
20 849888100.5676641464
21 552301137.9140354395
22 447731360.9146278501
400 3472331253.7590293884
evaluations raw_y
1 1883046680.1947448254
2 1557483657.3531100750
3 952856304.6361727715
21 458286773.8481358886
400 2955444020.0851683617
