evaluations raw_y
1 726.3706812106
3 549.0057688903
9 367.1429228656
13 333.2269310894
21 257.2643527945
27 214.0040016725
37 178.3239906382
39 159.6844476889
44 139.5064932787
54 128.9335415150
56 119.3338178638
61 115.8808303633
63 92.7904422132
100 90.0019856222
101 299.1210268887
evaluations raw_y
1 761.2255891668
4 326.2109921283
32 307.0841884270
37 287.5280271912
40 190.3844123806
44 168.2152546481
47 122.9995810153
70 109.6716127637
73 108.3072380306
84 85.9110228205
101 101.5169284053
evaluations raw_y
1 555.1851923940
6 513.6897774957
8 459.5361072302
16 453.1570238816
23 361.7016575307
29 260.8709621986
30 227.0882414125
34 212.7559222919
39 175.8547453807
47 135.0667709432
62 123.4391670224
69 96.2082254534
72 85.7956285161
101 483.3257106273
evaluations raw_y
1 583.2752878057
7 326.1180388185
22 298.2992024672
26 216.6319855826
27 191.6323714529
44 125.5993539082
82 125.5587727783
101 186.3239189747
evaluations raw_y
1 1011.8918051529
3 491.3889618920
21 230.8679226985
23 215.2265348480
29 177.9539889678
33 170.7211811271
35 117.9463675481
44 104.5224092574
50 91.2835174176
101 157.7353629896
