evaluations raw_y
1 4379.5450355011
3 2989.3732481293
8 2478.1095926528
10 2144.3198904186
21 1293.6636399348
97 1152.7473518584
112 1133.8525037014
148 1016.3118606811
154 906.0211353007
162 849.3608433357
167 815.1504227081
171 799.0492802916
173 743.9239042735
176 727.6237624322
193 658.2247801034
205 634.3539674048
206 609.6879398152
220 601.7534674272
232 585.7629782424
240 566.3418737732
255 565.4949621705
256 559.9148896791
261 520.8735510545
283 498.5392176720
287 480.9272474146
333 447.9417276972
366 403.5304929594
400 730.5073514200
evaluations raw_y
1 3528.0217023448
2 3048.3358716659
8 2493.4191866465
21 1745.0220297876
24 1582.9357758486
35 1558.8238953447
41 1514.8599381818
47 1500.1949580466
56 1233.0676890508
57 1164.8046967788
96 977.6093451599
106 966.7319950769
118 913.3714476320
121 781.1838059351
134 707.7585543400
140 642.2660084690
156 611.8977954862
157 488.3886820358
159 478.1171251765
201 419.5524769231
400 795.2543700285
evaluations raw_y
1 3882.3134290573
2 2815.1234473780
21 2274.4558182497
24 1554.1575121975
33 1371.9995954980
76 1356.3836562111
86 1099.5303097802
111 1040.8152390397
112 917.6597725395
141 840.6466692714
166 763.7907077131
167 699.4915467511
177 619.2927152629
189 561.1568741253
194 510.1703519978
208 506.7459588688
247 477.2990130918
321 444.4590128333
383 436.2822595826
399 410.3011700892
400 637.2353721724
