evaluations raw_y
1 116.8777758042
3 113.8234919224
4 99.5298382184
5 91.5682521711
7 76.1974997211
11 60.9138401343
16 57.0225266690
21 53.3130648895
23 35.7694799954
31 24.5410731499
34 22.2372587896
35 20.5175441786
37 16.0377639723
38 12.5638869177
39 4.3946100582
40 1.7831185795
42 0.9431863372
45 0.4393355729
48 0.3038737642
50 0.2521194775
53 0.2165159603
55 0.0814539287
87 0.0598872484
101 0.1221728552
evaluations raw_y
1 62.7658010635
9 52.5025078076
22 15.1283098137
25 14.8543254891
28 13.9811724169
32 3.4594498180
37 1.2790079232
38 1.1574809542
42 0.8327398478
43 0.3766535997
48 0.2391330488
53 0.1610135332
67 0.1400832435
86 0.1361975546
87 0.1338167487
94 0.1138447276
101 0.1498806327
evaluations raw_y
1 103.2580020025
3 78.1986335517
8 37.0642083140
21 26.8056320342
23 19.9929519587
27 17.9084060860
28 14.1073286946
31 10.3176419986
32 6.0769658029
35 5.8133492017
38 4.2029056948
39 4.1864595186
41 0.9159964857
42 0.2467811572
47 0.1953965104
50 0.0906474304
101 0.1070283566
evaluations raw_y
1 111.9266043798
2 89.5886564696
3 58.9758245957
22 24.9984326053
27 15.1554930175
31 7.6918790437
33 2.2805170748
36 1.9429567842
37 1.7066437753
39 0.2173594929
50 0.0626800968
101 0.1471088832
evaluations raw_y
1 123.7315331073
2 53.7220040994
16 45.9402861401
22 22.2967002679
30 16.6986947822
31 15.5926543034
33 13.0337675953
35 8.2449847867
36 5.7646355558
39 5.5937883910
43 1.2334705889
44 0.2606884161
55 0.1102311504
60 0.1038783653
79 0.0897776773
94 0.0856077354
101 0.3753366599
