evaluations raw_y
1 143.9562796609
2 92.3010924974
4 87.4364011287
5 60.2708782731
10 51.8395292947
32 45.4937076215
33 32.0580691971
36 26.3557603418
38 15.7779926739
41 6.5817029337
43 1.2344874650
48 0.2321205233
61 0.1870011452
66 0.1149171549
89 0.0187390655
99 0.0145410463
100 11.4231674536
evaluations raw_y
1 65.3531209905
8 63.2828708665
9 49.0216760123
28 43.6674074849
31 34.7161004279
32 31.0680207192
35 20.3879121808
36 5.4324905422
38 5.3136338223
41 3.7632001661
42 3.1669701442
43 0.8855104815
45 0.8596832853
46 0.5225916838
48 0.3661335182
53 0.1461033493
58 0.1209358146
62 0.0988800162
65 0.0696519846
80 0.0566695132
83 0.0468230852
100 12.4602100121
evaluations raw_y
1 133.7261049622
2 42.8781226307
31 29.0319348679
33 28.7316288182
38 27.7615162092
41 6.7452096785
43 4.1224390642
47 1.1693420529
52 0.4887194461
53 0.3654745923
57 0.2680718944
62 0.1997890051
70 0.1146512502
71 0.1043056792
82 0.0915951866
89 0.0318962835
95 0.0165800307
100 0.0424555586
evaluations raw_y
1 183.5080623539
2 78.2485578528
5 54.5911879848
15 52.4164701606
28 29.8970795596
31 3.7328620145
36 1.3956086204
41 0.9316587594
48 0.5727777544
51 0.5579671791
52 0.4184181926
53 0.1476490307
60 0.0810085245
84 0.0740274618
93 0.0461420824
100 11.8472206541
evaluations raw_y
1 54.8997085161
7 34.3138018779
34 21.9153743078
36 16.7140454096
39 15.2088660623
40 8.0972838291
41 7.5355668373
46 5.0764592973
47 4.3019275643
49 2.2369095047
51 0.3555466340
60 0.2369066976
64 0.1494863103
78 0.0596171999
87 0.0514866661
99 0.0415655300
100 8.2252841230
