evaluations raw_y
1 78.3496230256
2 76.7609139204
5 67.0116538016
14 60.0360875920
27 58.6278029366
47 45.8816027185
50 43.2255887057
53 38.7294295239
55 35.9111505000
58 28.2121992413
60 26.2022584304
69 24.6444500299
74 22.7642891458
77 21.3533163315
80 20.3159394467
84 19.9858023118
85 18.4209334974
90 15.7348508059
91 12.7838086168
94 11.2376991643
95 11.0499050852
101 10.9209855202
evaluations raw_y
1 83.0504241091
2 76.6671755424
15 72.0888280940
21 61.7080632299
24 56.1604639225
25 55.7566991390
31 51.3849367999
32 50.7441509944
37 32.3371261413
38 28.2949010382
39 26.4215789499
44 22.3004199950
45 20.6722324213
47 13.1509638685
48 9.3395522173
49 8.9054327198
51 7.6501968769
64 7.6496828417
66 7.0893793756
70 6.9742373148
72 6.7107847051
91 5.8951550453
93 3.9697922887
101 5.7303170175
evaluations raw_y
1 79.3185943165
2 77.5274629407
6 74.3431906747
18 71.9576946912
28 67.4689589731
30 59.1340980015
40 56.2709367566
45 46.8219281405
48 43.5444840664
49 40.5994170114
55 39.7483642888
57 34.6915628297
59 32.6129695120
66 32.4112919539
75 30.2032254059
76 29.9976007055
77 29.4877535624
79 29.4733712822
81 29.2910058959
86 28.6388809449
88 27.0127490182
98 25.8800973966
100 25.8779824088
101 39.6589685764
evaluations raw_y
1 85.1566241087
2 70.6179827683
11 45.9766589379
24 41.2391459803
27 38.1799128420
29 30.2963693325
32 23.6660998565
36 19.4981613535
43 9.6903978467
50 7.0535100068
58 6.6603418718
72 5.9151688456
86 5.2562935463
95 4.5065135863
100 4.3357133908
101 5.2269096693
evaluations raw_y
1 77.8029821313
3 70.0615735925
20 69.7464115690
24 61.7885827673
38 54.2971600221
39 51.8301150759
47 50.7018325770
55 50.1558723699
62 46.1297479979
65 42.8104554161
69 39.3319170809
70 31.5533150618
72 30.9421756374
76 28.3217197053
78 26.1179942551
81 25.5077179017
83 25.2022240361
84 24.1853099094
86 23.3514507578
87 21.0065768132
96 20.3531984858
100 19.9387475588
101 23.8157280242
