evaluations raw_y
1 86.1642943120
4 86.0759766067
6 86.0506401227
7 84.1690038819
37 84.1547080156
40 82.6303524312
44 82.3642447226
49 82.2777281008
55 79.8922953610
56 79.0289663581
62 78.2678415384
73 74.2605486346
84 72.5566254937
89 72.5487531682
95 71.4825499837
98 70.3655649996
105 69.3843431670
108 68.1848659827
120 67.6527393334
133 61.2027958812
135 56.4953945471
166 51.6101025004
200 47.5829326515
204 41.7963096508
209 30.0869487599
280 24.6556917059
303 17.6990732617
342 16.9309316776
350 13.4730082372
351 9.6280377399
369 9.4716913894
372 9.0008654333
388 8.5122423284
395 14.2849547374
evaluations raw_y
1 86.4068335709
2 86.0922657796
3 86.0377660755
5 85.5284774615
6 85.2547925560
32 84.8312251047
39 84.5218114552
41 82.9118765623
46 81.4558359661
52 81.3739894444
53 80.2399653744
60 76.8024511174
61 75.2534086665
71 72.8774379602
74 71.1185015157
78 70.6029731319
84 66.6067400275
106 64.2077577847
107 63.0369174027
114 62.3599360491
125 57.6513513099
126 53.2269340680
132 47.3996340556
138 46.5582244524
150 42.0756351448
166 40.5539630979
167 29.4819573625
267 27.0407833510
271 19.7343339354
310 19.2259625654
314 18.8731763455
319 14.7380330143
338 13.5836548538
351 12.8033673462
360 11.9740155692
363 11.8904427199
384 11.3655235968
395 39.6606250188
evaluations raw_y
1 86.3126138690
2 85.8709778081
14 85.6471469090
16 85.5899356662
20 84.5367043676
23 83.9006325665
31 83.0587898551
36 81.9112336845
42 81.5558957440
48 80.7096698587
54 79.8341734105
59 79.5843813414
62 79.2416982128
70 78.9044561431
74 77.3742377546
76 73.7291148028
84 73.1415649695
87 69.8870348067
109 69.2854521489
112 68.9865578354
122 68.7263338716
124 63.1074846310
151 60.3241101615
154 55.4739159247
170 42.7244231327
171 36.3998290196
186 31.8397188856
187 28.6481388376
210 27.2426994094
215 13.9594862477
273 11.2930213696
310 9.6392312164
332 8.3457951987
342 8.0497669955
345 6.2893727633
364 6.1900492050
371 5.5411771188
387 4.2011404824
395 26.0727082133
