evaluations raw_y
1 749803.7327464367
3 520079.0472310545
21 393763.5173525163
22 189522.9846247044
86 97550.1442772498
108 74893.7022531473
111 26730.0445685351
113 21462.7976726383
151 9646.6484345829
161 7016.2243968975
163 6265.2095570523
172 5886.7668293642
177 5697.9138387869
220 2945.8656747915
327 2702.1855754771
400 25725.0620301667
evaluations raw_y
1 1538490.0074864563
2 1258429.4241195107
3 1033668.9807045577
7 876544.5847114198
19 644500.0542108713
26 621283.9998693394
30 514111.6524096866
62 144649.9507237008
106 112886.4418531897
114 107091.3812791468
116 102087.2179016001
127 95023.0254635223
133 78437.8496605325
136 65036.0309682534
162 53396.7469344339
167 35228.7281744401
177 26755.3313462717
179 23290.0661918473
183 17445.5695581452
203 14380.8761307006
264 13851.8219279820
287 11700.7179998534
297 11535.9821871134
299 8406.0853306368
320 7872.8321617816
400 266753.9544519876
evaluations raw_y
1 2174329.2909084018
2 1895845.9536704058
3 1129175.6671983979
4 964060.6837446039
21 775011.8831387588
22 281565.5059608897
68 212403.0929565246
72 184715.0438238204
91 176948.6908014934
92 124643.4075787468
94 96437.4103259139
102 82221.3034210223
112 71955.3160415423
116 60277.8224921850
129 52099.6176283466
140 39152.7187844389
145 36900.5842028398
147 26030.5247442375
152 23826.0976064910
156 15678.7686618998
222 13163.0060140346
235 12784.4654330942
240 11337.6398647211
250 9016.6240497496
258 8230.1968090142
261 7580.9242182654
341 6147.3433253656
400 149665.3527535812
