evaluations raw_y
1 1614300.6273103466
2 1561927.5501732859
4 1347899.4906554383
8 1014474.3957515036
12 699950.5969702124
21 394063.6745048700
24 257874.3008073869
31 181700.7568081131
36 162769.2834217505
42 162119.9691245450
46 142321.3607027835
50 110823.6221126329
54 95314.5406787786
60 76601.1580824098
82 69084.4961153597
84 58759.2920225373
85 41854.3415715402
112 36008.2808159484
116 34203.0783004389
122 29653.9306365377
129 26087.4458515760
136 25678.5040919231
142 24103.9400914819
145 21322.5908944860
146 20074.9947945373
164 17259.7981620634
174 16850.4330825567
191 15635.5422420597
211 13894.4517964042
216 12427.5023251477
232 11907.2665134713
256 11614.8377432510
